Using Epoch = 20, Overall Accuracy = 83.58%
Training Time = 6276ms, Testing Time = 1164ms
Classification Rate for each digit:
[0: 93.17%,	1: 98.13%,	2: 90.19%,	3: 68.65%,	4: 90.54%,	5: 82.41%,	6: 86.70%,	7: 79.97%,	8: 75.37%,	9: 77.87%,]

Confusion Matrix:
		0		1		2		3		4		5		6		7		8		9
0	[93.17%	0.00%	1.14%	0.00%	0.00%	2.30%	2.26%	1.12%	1.11%	0.03%	]
1	[0.00%	98.13%	0.93%	0.00%	0.93%	0.00%	0.93%	0.00%	0.00%	0.00%	]
2	[0.00%	0.98%	90.19%	0.98%	0.97%	0.99%	1.98%	1.96%	2.92%	0.01%	]
3	[0.00%	0.00%	3.03%	68.65%	0.00%	16.16%	3.05%	7.07%	3.01%	0.03%	]
4	[0.00%	0.00%	0.95%	0.93%	90.54%	0.00%	2.84%	0.01%	1.87%	3.80%	]
5	[2.17%	0.00%	1.10%	4.41%	1.11%	82.41%	1.12%	3.30%	5.46%	0.02%	]
6	[1.10%	1.11%	2.21%	0.00%	3.33%	2.22%	86.70%	2.21%	2.22%	0.00%	]
7	[0.00%	1.90%	6.68%	1.90%	2.86%	0.94%	0.00%	79.97%	0.00%	6.70%	]
8	[0.98%	1.96%	5.93%	3.91%	1.96%	5.90%	1.00%	1.96%	75.37%	2.01%	]
9	[0.00%	0.00%	0.00%	2.01%	8.06%	4.03%	0.00%	8.03%	1.01%	77.87%	]
