epoch	accuracy
 1		72.50%
 2		80.57%
 3		82.48%
 4		79.28%
 5		81.88%
 6		80.38%
 7		80.78%
 8		77.78%
 9		79.28%
 10		80.08%
 11		81.18%
 12		80.68%
 13		78.98%
 14		82.28%
 15		81.18%
 16		80.78%
 17		80.18%
 18		78.88%
 19		81.68%
 20		83.58%
 21		82.48%
 22		82.08%
 23		82.38%
 24		82.28%
 25		80.98%
 26		81.58%
 27		80.38%
 28		81.38%
 29		82.18%
 30		81.58%
 31		82.08%
 32		81.38%
 33		81.88%
 34		82.88%
 35		81.58%
 36		81.58%
 37		81.68%
 38		81.88%
 39		81.98%
 40		80.88%
 41		81.88%
 42		81.88%
 43		82.68%
 44		81.58%
 45		82.48%
 46		82.58%
 47		81.88%
 48		82.18%
 49		82.88%
 50		82.68%
 51		82.58%
 52		81.78%
 53		82.28%
 54		83.18%
 55		82.78%
 56		82.48%
 57		82.68%
 58		81.88%
 59		81.78%
 60		82.28%
 61		81.68%
 62		82.48%
 63		82.18%
 64		82.18%
 65		82.28%
 66		82.38%
 67		81.68%
 68		81.88%
 69		81.48%
 70		81.58%
 71		82.18%
 72		81.98%
 73		81.78%
 74		81.98%
 75		82.18%
 76		81.38%
 77		81.98%
 78		82.58%
 79		82.28%
 80		82.38%
 81		81.98%
 82		82.38%
 83		82.18%
 84		82.18%
 85		82.18%
 86		82.28%
 87		82.38%
 88		82.18%
 89		82.08%
 90		81.88%
 91		82.28%
 92		81.98%
 93		81.88%
 94		81.68%
 95		81.28%
 96		82.28%
 97		82.28%
 98		82.48%
 99		81.38%
 100		81.68%
