100-Nearest Neighbor, Overall Accuracy = 83.50%
Testing Time = 15148ms
Classification Rate for each digit:
[0: 98.89%,	1: 99.07%,	2: 79.61%,	3: 89.00%,	4: 69.16%,	5: 57.61%,	6: 92.31%,	7: 74.53%,	8: 84.47%,	9: 91.00%,]

Confusion Matrix:
		0		1		2		3		4		5		6		7		8		9
0	[98.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	]
1	[0.00%	99.07%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	]
2	[4.85%	1.94%	79.61%	2.91%	0.00%	0.00%	3.88%	1.94%	4.85%	0.00%	]
3	[0.00%	1.00%	0.00%	89.00%	0.00%	0.00%	0.00%	3.00%	4.00%	3.00%	]
4	[0.93%	1.87%	0.00%	0.00%	69.16%	0.00%	3.74%	0.00%	0.00%	24.30%	]
5	[7.61%	0.00%	0.00%	6.52%	1.09%	57.61%	5.43%	1.09%	14.13%	6.52%	]
6	[4.40%	2.20%	0.00%	0.00%	1.10%	0.00%	92.31%	0.00%	0.00%	0.00%	]
7	[0.94%	7.55%	0.94%	0.00%	0.00%	0.00%	0.00%	74.53%	0.94%	15.09%	]
8	[3.88%	0.00%	0.97%	5.83%	0.00%	0.00%	0.97%	1.94%	84.47%	1.94%	]
9	[2.00%	0.00%	0.00%	2.00%	2.00%	0.00%	1.00%	0.00%	2.00%	91.00%	]
