11-Nearest Neighbor, Overall Accuracy = 90.80%
Testing Time = 15370ms
Classification Rate for each digit:
[0: 100.00%,	1: 99.07%,	2: 92.23%,	3: 94.00%,	4: 85.05%,	5: 79.35%,	6: 96.70%,	7: 81.13%,	8: 89.32%,	9: 92.00%,]

Confusion Matrix:
		0		1		2		3		4		5		6		7		8		9
0	[100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	]
1	[0.00%	99.07%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	]
2	[0.97%	0.97%	92.23%	1.94%	0.00%	0.00%	0.97%	0.97%	1.94%	0.00%	]
3	[0.00%	0.00%	0.00%	94.00%	0.00%	0.00%	0.00%	3.00%	1.00%	2.00%	]
4	[0.93%	0.93%	0.00%	0.00%	85.05%	0.00%	3.74%	0.00%	0.00%	9.35%	]
5	[4.35%	0.00%	0.00%	5.43%	0.00%	79.35%	2.17%	0.00%	6.52%	2.17%	]
6	[2.20%	1.10%	0.00%	0.00%	0.00%	0.00%	96.70%	0.00%	0.00%	0.00%	]
7	[0.94%	3.77%	1.89%	0.00%	0.00%	0.00%	0.00%	81.13%	0.00%	12.26%	]
8	[1.94%	0.97%	0.97%	4.85%	0.00%	0.00%	0.00%	1.94%	89.32%	0.00%	]
9	[1.00%	0.00%	0.00%	2.00%	2.00%	1.00%	0.00%	0.00%	2.00%	92.00%	]
