k	accuracy	test_time
1	90.70%	[16355ms]
2	88.30%	[15461ms]
3	91.00%	[15455ms]
4	90.60%	[15323ms]
5	90.70%	[15196ms]
6	90.60%	[15256ms]
7	90.60%	[15361ms]
8	90.50%	[15110ms]
9	90.90%	[14964ms]
10	90.40%	[15268ms]
11	90.80%	[15204ms]
12	90.20%	[15153ms]
13	90.20%	[15105ms]
14	90.20%	[14477ms]
15	90.00%	[14753ms]
16	89.40%	[15222ms]
17	89.60%	[14754ms]
18	89.40%	[14533ms]
19	89.50%	[14604ms]
20	88.70%	[14520ms]
21	89.00%	[14661ms]
22	89.00%	[14811ms]
23	88.90%	[16313ms]
24	88.40%	[15687ms]
25	88.80%	[16523ms]
26	88.40%	[15410ms]
27	88.00%	[14952ms]
28	87.80%	[17568ms]
29	87.80%	[14675ms]
30	87.80%	[14740ms]
31	88.20%	[17091ms]
32	88.30%	[16741ms]
33	88.30%	[16064ms]
34	88.20%	[15431ms]
35	88.20%	[14538ms]
36	88.10%	[14814ms]
37	87.90%	[14548ms]
38	87.60%	[14972ms]
39	87.60%	[14961ms]
40	87.60%	[14741ms]
41	87.60%	[14762ms]
42	87.90%	[14560ms]
43	88.00%	[14950ms]
44	87.70%	[14771ms]
45	86.90%	[14661ms]
46	87.20%	[14753ms]
47	87.30%	[14832ms]
48	87.10%	[14729ms]
49	87.10%	[14522ms]
50	86.90%	[14792ms]
51	86.80%	[14593ms]
52	86.50%	[14752ms]
53	86.50%	[14684ms]
54	86.60%	[14599ms]
55	86.30%	[14509ms]
56	85.90%	[14566ms]
57	86.20%	[14543ms]
58	86.30%	[14380ms]
59	86.30%	[14587ms]
60	86.10%	[14918ms]
61	85.90%	[14659ms]
62	85.60%	[14695ms]
63	85.40%	[15028ms]
64	85.60%	[14811ms]
65	85.50%	[14939ms]
66	85.60%	[14646ms]
67	85.50%	[14389ms]
68	85.10%	[15068ms]
69	85.20%	[14886ms]
70	84.90%	[14884ms]
71	85.00%	[14814ms]
72	84.60%	[14978ms]
73	84.80%	[14803ms]
74	84.60%	[14737ms]
75	85.10%	[14523ms]
76	84.70%	[14409ms]
77	84.50%	[14867ms]
78	84.60%	[14821ms]
79	84.60%	[14774ms]
80	84.40%	[15293ms]
81	84.20%	[14991ms]
82	84.40%	[14815ms]
83	84.50%	[14779ms]
84	84.30%	[14999ms]
85	84.60%	[14851ms]
86	84.20%	[14822ms]
87	84.40%	[14596ms]
88	84.20%	[15888ms]
89	84.20%	[15136ms]
90	84.20%	[15153ms]
91	84.10%	[14926ms]
92	84.00%	[14819ms]
93	84.10%	[15195ms]
94	84.10%	[15022ms]
95	84.00%	[14899ms]
96	83.90%	[15630ms]
97	84.00%	[14722ms]
98	83.90%	[15421ms]
99	83.70%	[15707ms]
100	83.50%	[15148ms]
