Using Epoch = 40, Overall Accuracy = 88.30%
Training Time = 5149ms, Testing Time = 25ms
Classification Rate for each digit:
[0: 93.33%,	1: 97.22%,	2: 90.29%,	3: 88.00%,	4: 89.72%,	5: 90.22%,	6: 86.81%,	7: 83.96%,	8: 81.55%,	9: 82.00%,]

Confusion Matrix:
		0		1		2		3		4		5		6		7		8		9
0	[93.33%	0.00%	0.00%	0.00%	1.11%	2.22%	1.11%	0.00%	2.22%	0.00%	]
1	[0.00%	97.22%	0.00%	0.00%	1.85%	0.00%	0.93%	0.00%	0.00%	0.00%	]
2	[0.00%	0.00%	90.29%	0.00%	0.00%	0.97%	0.97%	2.91%	2.91%	1.94%	]
3	[0.00%	0.00%	0.00%	88.00%	0.00%	4.00%	0.00%	5.00%	3.00%	0.00%	]
4	[0.00%	0.00%	1.87%	0.00%	89.72%	0.00%	2.80%	2.80%	0.00%	2.80%	]
5	[2.17%	0.00%	1.09%	2.17%	0.00%	90.22%	0.00%	2.17%	2.17%	0.00%	]
6	[1.10%	1.10%	2.20%	0.00%	0.00%	4.40%	86.81%	1.10%	3.30%	0.00%	]
7	[0.00%	0.94%	3.77%	1.89%	0.00%	0.00%	0.00%	83.96%	0.94%	8.49%	]
8	[0.97%	0.00%	3.88%	3.88%	1.94%	2.91%	0.97%	2.91%	81.55%	0.97%	]
9	[1.00%	0.00%	0.00%	3.00%	7.00%	0.00%	0.00%	4.00%	3.00%	82.00%	]
